"Protein","Count_ABP","Count_Comp","Count_NP","Mean_ABP","Mean_Comp","Mean_NP","Fold_change_ABP_vs_Comp","Fold_change_ABP_vs_NP","Fold_change_Comp_vs_NP","P_value_A_ABP_vs_Comp","P_value_A_ABP_vs_NP","P_value_A_Comp_vs_NP","Flag_A_ABP_vs_Comp","Flag_A_ABP_vs_NP","Flag_A_Comp_vs_NP"
"tr|M0R8M4|M0R8M4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5U2T8|CIR1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZKQ4|D3ZKQ4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q6GVH5|GGNB2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|F1LYQ7|F1LYQ7_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|E9PU01|E9PU01_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|F7EQ04|F7EQ04_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D4A2N0|D4A2N0_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K0F1|A0A0G2K0F1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5M948|TAF1D_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q4V7C9|NKAP_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|M0RBT9|M0RBT9_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZT03|D3ZT03_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2JX62|A0A0G2JX62_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5U2T3|SPS2L_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|M0RDZ6|M0RDZ6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q4V8I5|AR6P4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q62806|ZN148_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZGN2|D3ZGN2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|O88453|SAFB1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|Q5XII6|Q5XII6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|Q7TP92|Q7TP92_RAT",3,3,0,2.3291798109433,1.57878804720098,NA,0.750391763742321,NA,NA,0.0496422520843019,NA,NA,1,0,0
"tr|A0A0G2K5V0|A0A0G2K5V0_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
